sunda,id
nyakitu,
nyodorkeun,menyerahkan
paraur,takut
pariksa,periksa
pengelolana,pengelola
rapihkeun,rapikan
raresep,suka
rarungkuan,rimbun
rasakeun,rasakan
sae,bagus
sakalian,sekalian
sakedeng,sebentar
sampahna,sampahnya
solusina,solusinya
tempatna,tempatnya
transportasina,transportasinya
tutupan,tutup
walikotana,walikotanya
we,
innalilahi ,
